"","FollowNumber","Name","Age","DiversityScore"
"193","3103","walimah","1",1.48164453924372
"194","3201","walimah","1",2.01452161314512
"195","3746","walimah","2",2.21863049103594
"196","7276","walimah","7",1.83676031971636
"197","4746","walimah","6",1.02057806234737
"198","6552","walimah","7",1.61079291798345
"199","6601","walimah","7",1.94037845707596
"200","7296","walimah","7",1.43114500842321
"201","7168","walimah","7",1.96796550301497
"202","3240","walimah","1",1.39509032146408
"203","3414","walimah","1",2.05858945588656
"204","3501","walimah","2",1.61634969530254
"205","3561","walimah","2",1.99529329376984
"206","3587","walimah","2",2.01661189923172
"207","3732","walimah","2",1.2069255684392
"208","4512","walimah","2",2.15426628060994
"209","5021","walimah","6",0.878457320586446
"210","6556","walimah","7",0.968034077823429
"211","7482","walimah","7",1.46385470208308
"212","7516","walimah","7",1.50304000574131
"213","7485","walimah","7",0.776329747798597
"214","7709","walimah","7",1.10298010365953
"215","3302","walimah","1",2.04601716774871
"216","6597","walimah","7",1.34441265947678
"217","6638","walimah","7",1.49823069841567
"218","6973","walimah","7",1.26047988587503
"219","7124","walimah","7",1.54210534497341
"220","6678","walimah","7",1.51026689934889
"221","7186","walimah","7",1.79470072813069
"222","6820","walimah","7",1.27867498136658
"223","7571","walimah","7",1.37026329989935
"224","7201","walimah","7",1.190705234277
"225","3052","walimah","1",1.72624616601222
"226","3198","walimah","1",2.20571291824666
"227","3287","walimah","1",1.84987542032464
"228","3300","walimah","1",1.66027822430966
"229","3398","walimah","1",1.63279645804297
"230","3448","walimah","1",1.68366359949249
"231","3499","walimah","2",1.28094866465949
"232","3661","walimah","2",2.08989640365366
"233","3907","walimah","2",1.4741122499089
"234","4179","walimah","2",2.24318273585915
"235","4995","walimah","6",0.682367888755685
"236","6605","walimah","7",1.5511509021626
"237","7442","walimah","7",1.28044250150424
"238","6829","walimah","7",1.61940564890957
"239","3248","walimah","1",1.92455145067687
"240","3483","walimah","2",1.58053797925963
"241","7069","walimah","7",1.92084337891852
"242","3294","walimah","1",1.70410711742357
"243","3558","walimah","2",2.23287882051544
"244","5288","walimah","6",1.15399895631971
"245","5292","walimah","6",0.68727617209568
"246","6883","walimah","7",1.35920531383508
"247","6990","walimah","7",1.44326018468781
"248","3188","walimah","1",1.54969420294881
"249","7071","walimah","7",1.34351767578647
"250","4307","walimah","2",1.49484106539382
"251","6554","walimah","7",1.50162054036509
"252","6599","walimah","7",1.02850915711299
"253","6624","walimah","7",0.874211019369191
"254","6975","walimah","7",1.49908418718369
"255","7717","walimah","7",1.91503287985551
"256","7170","walimah","7",0.843344102358577
"257","3045","walimah","1",1.81080804461645
"258","3056","walimah","1",1.28977084844301
"259","3166","walimah","1",1.7122507386265
"260","3298","walimah","1",1.04923759494821
"261","3401","walimah","1",2.23040103034242
"262","3487","walimah","2",1.74670828185736
"263","3495","walimah","2",1.67114912627729
"264","5331","walimah","6",1.68792024556315
"265","6682","walimah","7",0.40821560707974
"266","6878","walimah","7",1.43045137302657
"267","7409","walimah","7",1.16793443189246
"268","7434","walimah","7",1.09144318904771
"269","4864","walimah","6",1.47118566911731
"270","7172","walimah","7",1.90274643460458
"271","6527","walimah","7",0.978554564247727
"272","4747","walimah","6",1.04266915136372
"273","7707","walimah","7",0.782182581289252
"274","6970","walimah","7",1.44238832833597
"275","2861","walimah","1",1.19526841708698
"276","2879","walimah","1",1.73619861417978
"277","3042","walimah","1",1.33608433259726
"278","3195","walimah","1",1.39932874742111
"279","3436","walimah","1",1.72008302618699
"280","3489","walimah","2",1.66044301885486
"281","3874","walimah","2",1.88874381836372
"282","3913","walimah","2",2.00374391964037
"283","4253","walimah","2",0.979728199914684
"284","4267","walimah","2",1.01753802495658
"285","4276","walimah","2",0.553741559377056
"286","4284","walimah","2",1.06840930725484
"287","4288","walimah","2",0.685235350331586
"288","4292","walimah","2",1.22397725076637
"289","4295","walimah","2",1.87166600829351
"290","4370","walimah","2",1.331488875968
"291","4485","walimah","2",0.591702848058963
"292","4495","walimah","2",1.9945318080617
"293","4497","walimah","2",2.075246104345
"294","4499","walimah","2",1.05821671562841
"295","4505","walimah","2",1.91888315310161
"296","4532","walimah","2",0.99045816455815
"297","4538","walimah","2",1.73185971589447
"298","4541","walimah","2",0.54195142660084
"299","4545","walimah","2",1.5515813577706
"300","4549","walimah","2",0.359023810488627
"301","4773","walimah","6",1.16907542690908
"302","4777","walimah","6",0.991696367340688
"303","4831","walimah","6",0.814109764689099
"304","4841","walimah","6",0.827813991814535
"305","5328","walimah","6",1.2837828634775
"306","5347","walimah","6",0.529376428439955
"307","6555","walimah","7",0.97884614820565
"308","6560","walimah","7",1.49819996323283
"309","6561","walimah","7",1.77330857986787
"310","6573","walimah","7",0.598350408198696
"311","6578","walimah","7",0.607938068642834
"312","6604","walimah","7",0.499080803521595
"313","6626","walimah","7",0.866646114436811
"314","6637","walimah","7",0.492603657539584
"315","6639","walimah","7",1.13628863403928
"316","6653","walimah","7",1.07126567312122
"317","6655","walimah","7",1.34135768409004
"318","6656","walimah","7",0.859511382170058
"319","6797","walimah","7",0.905239123902522
"320","6851","walimah","7",0.446568833290589
"321","6880","walimah","7",1.66267416137023
"322","6881","walimah","7",1.54606810214561
"323","6885","walimah","7",0.994448518604572
"324","6919","walimah","7",1.29804085538768
"325","6929","walimah","7",0.966261208927724
"326","6969","walimah","7",0.762220413248721
"327","6976","walimah","7",1.56650816880318
"328","7022","walimah","7",0.932677790272258
"329","7065","walimah","7",1.04983795649933
"330","7066","walimah","7",1.51915892226224
"331","7067","walimah","7",1.17265639833114
"332","7068","walimah","7",0.913568255172322
"333","7073","walimah","7",1.60603955030956
"334","7076","walimah","7",1.44110667329162
"335","7166","walimah","7",0.340437060359829
"336","7183","walimah","7",0.983052347112026
"337","7198","walimah","7",1.55226373878643
"338","7200","walimah","7",1.57744680242404
"339","7212","walimah","7",1.3963685673879
"340","7221","walimah","7",1.12642008524643
"341","7233","walimah","7",0.672804689394068
"342","7268","walimah","7",1.05622358955318
"343","7269","walimah","7",1.14148128143134
"344","7275","walimah","7",1.26945137735501
"345","7298","walimah","7",1.30579257553463
"346","7339","walimah","7",2.04175204282282
"347","7342","walimah","7",1.33700521473101
"348","7348","walimah","7",0.156946388230847
"349","7350","walimah","7",1.2588911667641
"350","7416","walimah","7",1.19689825752321
"351","7418","walimah","7",1.9000481693628
"352","7478","walimah","7",1.41141904785832
"353","7515","walimah","7",0.912255168524127
"354","7644","walimah","7",1.1594798299801
"355","7768","walimah","7",0.762775290347615
"356","7780","walimah","7",1.41854606759194
"357","2663","misha","5",1.0302273508955
"358","655","misha","3",1.34525948727694
"359","2560","misha","5",1.11691420470876
"360","4064","misha","6",1.53651489940117
"361","2459","misha","5",1.58126870258874
"362","2555","misha","5",1.72901974755747
"363","3393","misha","5",1.51627175818195
"364","2553","misha","5",1.41227611012433
"365","2549","misha","5",1.59096464291154
"366","2464","misha","5",1.61990700381195
"367","2258","misha","4",1.77351154746024
"368","3825","misha","6",1.26743708671715
"369","2391","misha","4",1.25755293260441
"370","3264","misha","5",1.31711291898137
"371","2286","misha","4",1.64297408131204
"372","4063","misha","6",1.39922649902392
"373","3204","misha","5",1.88959399207433
"374","2689","misha","5",1.79799697654779
"375","2397","misha","5",1.53537096676322
"376","2541","misha","5",1.13652956540129
"377","3818","misha","6",1.57564052628787
"378","3863","misha","6",1.37713039428053
"379","2661","misha","5",2.02587808197996
"380","2745","misha","5",1.38398451429525
"381","3148","misha","5",1.79346422702342
"382","3847","misha","6",1.97563309028633
"383","3206","misha","5",1.66185295068863
"384","3696","misha","6",1.54100507759653
"385","2547","misha","5",1.75584373669524
"386","1924","misha","4",1.75686213536205
"387","2399","misha","5",1.73965817795753
"388","1428","misha","4",1.70606637939844
"389","1899","misha","4",1.52750891466801
"390","3030","misha","5",1.70441251870128
"391","2545","misha","5",1.5382415163899
"392","1441","misha","4",1.89926390068094
"393","3538","misha","6",1.46439667288821
"394","2507","misha","5",1.93138827536926
"395","760","misha","3",1.67011588735808
"396","3628","misha","6",1.96940176123956
"397","2224","misha","4",1.82005511438592
"398","2465","misha","5",1.71515117725149
"399","2551","misha","5",2.07139288455906
"400","2993","misha","5",2.11258050693593
"401","3611","misha","6",1.80411310345844
"402","2712","misha","5",1.42956166028261
"403","1474","misha","4",1.50893979211352
"404","1947","misha","4",1.01191253357026
"405","2633","misha","5",1.42792414000989
"406","3690","misha","6",1.39940466061272
"407","615","misha","3",1.56525043436074
"408","2724","misha","5",2.10404041284978
"409","1538","misha","4",1.9431117385763
"410","2562","misha","5",1.84531656932306
"411","2543","misha","5",1.79794990305343
"412","3565","misha","6",1.9441056874069
"413","3853","misha","6",1.69185828438301
"414","1066","misha","4",2.3727998507825
"415","3549","misha","6",1.95930518872848
"416","2514","misha","5",1.73142615691727
"417","3754","misha","6",1.66743184120213
"418","578","misha","3",1.73367496619721
"419","738","misha","3",1.92287794960318
"420","3814","misha","6",1.61560499832776
"421","857","misha","3",2.37358837654927
"422","876","misha","3",1.99910627216479
"423","3669","misha","6",1.28232501968244
"424","894","misha","3",2.45286572406738
"425","2537","misha","5",2.05592608125373
"426","671","misha","3",1.6831449278888
"427","3545","misha","6",1.72073846083744
"428","874","misha","3",2.09310581824918
"429","3310","misha","5",1.82701953965817
"430","3199","misha","5",2.06080043719323
"431","3324","misha","5",1.76107294532867
"432","3751","misha","6",2.01279591208273
"433","872","misha","3",2.11041949472919
"434","2700","misha","5",1.71836741806475
"435","1478","misha","4",1.79059820842306
"436","1840","misha","4",2.15259995182806
"437","1769","misha","4",2.22272971879593
"438","3399","misha","5",1.78429958262371
"439","617","misha","3",1.94613061097785
"440","2719","misha","5",1.8379560349356
"441","2747","misha","5",1.76148294792761
"442","2599","misha","5",1.55713264227487
"443","3252","misha","5",1.63521789762064
"444","1508","misha","4",1.74612922268563
"445","1886","misha","4",2.2321053171087
"446","2482","misha","5",1.62785623879408
"447","2756","misha","5",1.9737907510135
"448","4323","misha","6",1.16590632201194
"449","1135","misha","4",1.80009018679109
"450","1482","misha","4",1.8441928919139
"451","2024","misha","4",1.94299516594087
"452","4002","misha","6",1.50607086387252
"453","4085","misha","6",1.15436286108109
"454","3181","misha","5",1.92948727453769
"455","2877","misha","5",1.85109813831622
"456","1468","misha","4",2.04832938238673
"457","1809","misha","4",1.70471058612944
"458","2695","misha","5",1.16060415224849
"459","1100","misha","4",2.10957515635833
"460","2266","misha","4",1.71760271869049
"461","2992","misha","5",2.28285275817929
"462","3608","misha","6",1.8682193134211
"463","4325","misha","6",1.88790468689303
"464","2814","misha","5",1.81851440618563
"465","859","misha","3",1.97579202680049
"466","2784","misha","5",1.71357474593662
"467","675","misha","3",1.48786533494368
"468","2393","misha","4",1.93882507009384
"469","2811","misha","5",2.01509617990648
"470","610","misha","3",1.94139839103848
"471","3862","misha","6",2.12618953072746
"472","659","misha","3",1.76692305868441
"473","900","misha","3",2.42346877630189
"474","1446","misha","4",2.11805112934381
"475","1890","misha","4",1.9754497054191
"476","1470","misha","4",1.55057512782686
"477","3026","misha","5",1.51304805873577
"478","3716","misha","6",1.36727587939897
"479","2862","misha","5",1.13678457953013
"480","3816","misha","6",1.56825393226931
"481","2730","misha","5",1.82764094069802
"482","2640","misha","5",1.70173547117692
"483","3261","misha","5",1.78106021087669
"484","862","misha","3",2.43309660556462
"485","1434","misha","4",1.77672098984103
"486","2491","misha","5",1.66693944983579
"487","2676","misha","5",1.99120354035079
"488","2559","misha","5",2.137741050348
"489","2799","misha","5",2.17932279394578
"490","4216","misha","6",1.81365008121257
"491","3858","misha","6",1.56387945340164
"492","865","misha","3",1.74360992726324
"493","2239","misha","4",1.87079041441766
"494","2461","misha","5",1.74798712459092
"495","2501","misha","5",1.55785461699652
"496","1464","misha","4",2.14050990201087
"497","2453","misha","5",2.12538340608704
"498","1424","misha","4",1.83774677728449
"499","3585","misha","6",1.79925937862146
"500","854","misha","3",2.02767651921097
"501","3703","misha","6",1.76374232288778
"502","881","misha","3",2.489342412851
"503","1436","misha","4",1.7355964935038
"504","3868","misha","6",1.69081070400666
"505","2692","misha","5",2.02930493605428
"506","782","misha","3",2.29439390280652
"507","2369","misha","4",1.57330314441616
"508","2449","misha","5",1.53015415127538
"509","2457","misha","5",1.42788228627509
"510","2505","misha","5",1.74776082251692
"511","2533","misha","5",2.16533806722965
"512","3747","misha","6",1.57002974546932
"513","2779","misha","5",1.99168887635731
"514","3845","misha","6",1.46440563232073
"515","1155","misha","4",1.9114503419841
"516","2527","misha","5",1.92480946540142
"517","886","misha","3",2.06524083060812
"518","2734","misha","5",1.77232499745025
"519","1407","misha","4",1.84985492428502
"520","3249","misha","5",2.13644510877314
"521","2782","misha","5",2.12868307633011
"522","3723","misha","6",1.84269294177514
"523","837","misha","3",1.39488890603928
"524","2161","misha","4",1.21624645814204
"525","3212","misha","5",1.65286238628017
"526","2168","misha","4",2.12607338335141
"527","2709","misha","5",2.19927455408057
"528","3562","misha","6",1.65783820992588
"529","2781","misha","5",1.24927805381751
"530","3039","misha","5",1.97933067342999
"531","2181","misha","4",2.13708681057365
"532","3312","misha","5",2.11033194204902
"533","1823","misha","4",1.68690746016347
"534","1828","misha","4",2.45648659815542
"535","2647","misha","5",1.80740638493095
"536","2103","misha","4",1.95544896772092
"537","2630","misha","5",1.27918929837884
"538","3831","misha","6",1.37281054182113
"539","4257","misha","6",1.49551477533057
"540","1860","misha","4",1.57471035044747
"541","869","misha","3",2.67121325330963
"542","1847","misha","4",1.84544542318397
"543","1141","misha","4",2.20275439535775
"544","2797","misha","5",1.75686393978117
"545","2855","misha","5",2.1943949983284
"546","3621","misha","6",1.81634798822867
"547","1421","misha","4",1.75810421837784
"548","1801","misha","4",2.0592226400777
"549","1871","misha","4",2.10620180701919
"550","1958","misha","4",1.93812920735945
"551","3526","misha","6",1.7706957599968
"552","2244","misha","4",1.75980762569749
"553","2437","misha","5",2.04255531432322
"554","1400","misha","4",1.64255130619969
"555","1484","misha","4",2.62510084615098
"556","2183","misha","4",1.74989577216588
"557","2989","misha","5",1.54447142643501
"558","3280","misha","5",2.34930549836621
"559","3736","misha","6",1.85257439490951
"560","1415","misha","4",2.26731662326778
"561","1459","misha","4",1.65055440825336
"562","2509","misha","5",2.00497136482959
"563","3469","misha","5",1.83110051742277
"564","2609","misha","5",1.31899506881569
"565","3651","misha","6",1.50651052075222
"566","3321","misha","5",2.24605053051135
"567","3146","misha","5",2.67516667576308
"568","3674","misha","6",1.73201605700608
"569","1480","misha","4",1.80251898466535
"570","1942","misha","4",1.88327016025726
"571","2028","misha","4",1.80792590165194
"572","4330","misha","6",1.16629525100571
"573","1905","misha","4",2.62909035975181
"574","3860","misha","6",2.10640957445763
"575","2032","misha","4",1.95801587964777
"576","2169","misha","4",1.99431765640928
"577","2565","misha","5",2.09888151407555
"578","1815","misha","4",1.61757148283701
"579","3535","misha","6",1.62381811069796
"580","2163","misha","4",1.86089582284236
"581","892","misha","3",2.36119567217315
"582","1053","misha","4",1.17401995954408
"583","2173","misha","4",1.63795554195812
"584","2849","misha","5",1.95009075990876
"585","1821","misha","4",1.89389484037879
"586","1462","misha","4",1.94913263175928
"587","1952","misha","4",1.75880129464145
"588","2402","misha","5",2.08547186969519
"589","3588","misha","6",1.54506101317079
"590","909","misha","3",2.25412538301992
"591","1060","misha","4",2.44663155359032
"592","1105","misha","4",2.00172924892587
"593","2004","misha","4",2.0859090330154
"594","3149","misha","5",1.94454248165523
"595","1419","misha","4",1.68709105466705
"596","1806","misha","4",1.98940583667969
"597","1909","misha","4",2.13055121923657
"598","2765","misha","5",1.70932713588019
"599","625","misha","3",1.75369370033444
"600","1855","misha","4",1.93400939821085
"601","2615","misha","5",1.58806193728617
"602","2666","misha","5",1.86642798108425
"603","2820","misha","5",1.66010403358762
"604","801","misha","3",2.46582186467577
"605","3396","misha","5",2.08692722597141
"606","1033","misha","4",2.29982414097602
"607","1851","misha","4",1.7387857901617
"608","1919","misha","4",2.06935851471872
"609","2229","misha","4",2.13122397341146
"610","2829","misha","5",1.66303912976636
"611","2466","misha","5",2.0064221610839
"612","648","misha","3",2.32106732158873
"613","2175","misha","4",1.70871351850128
"614","2156","misha","4",1.03408583659433
"615","2171","misha","4",1.90380552047587
"616","2249","misha","4",2.07505074721842
"617","651","misha","3",2.46627711942895
"618","851","misha","3",1.6937955179794
"619","2036","misha","4",2.11324959683794
"620","2279","misha","4",1.79462038433941
"621","2503","misha","5",0.84153344245358
"622","1050","misha","4",2.03141486101409
"623","1454","misha","4",2.08797199546647
"624","1518","misha","4",1.15991235298441
"625","1546","misha","4",2.25223595673692
"626","1438","misha","4",1.76973856782793
"627","2788","misha","5",1.6427970822026
"628","3208","misha","5",2.32770819642439
"629","984","misha","4",2.65723668381908
"630","1113","misha","4",1.70460489737735
"631","1158","misha","4",2.15833951351008
"632","2439","misha","5",1.11996128290331
"633","2727","misha","5",2.35749416061047
"634","1165","misha","4",1.61147049335462
"635","1162","misha","4",2.10360313802708
"636","3342","misha","5",1.99828436691179
"637","888","misha","3",2.02970730622954
"638","2529","misha","5",1.43241180979765
"639","2739","misha","5",1.90116284996152
"640","3210","misha","5",1.93722844970327
"641","1646","misha","4",2.32861820080454
"642","906","misha","3",2.34917450381922
"643","1466","misha","4",1.50546683998499
"644","1123","misha","4",2.33143224943848
"645","642","misha","3",1.92682112742041
"646","758","misha","3",1.7838091541884
"647","1831","misha","4",1.64566439203634
"648","2262","misha","4",1.65086514365418
"649","3559","misha","6",1.7719339014977
"650","1795","misha","4",2.56021785386313
"651","663","misha","3",2.01964492739295
"652","897","misha","3",2.33221432155672
"653","1913","misha","4",1.64854717472583
"654","645","misha","3",1.53302937240529
"655","1160","misha","4",2.31907764710028
"656","2801","misha","5",2.10587030122807
"657","3150","misha","5",1.27291070270413
"658","2254","misha","4",1.9817058044148
"659","2770","misha","5",1.5296823267438
"660","1981","misha","4",1.24000247290923
"661","2395","misha","4",1.88688498802345
"662","2531","misha","5",1.44647434707845
"663","2188","misha","4",2.25669956397026
"664","4400","misha","6",1.03065089112524
"665","991","misha","4",1.61386787584922
"666","1551","misha","4",2.02800168888881
"667","2283","misha","4",1.85448728435962
"668","3712","misha","6",1.71334144498476
"669","3402","misha","5",1.89594010920643
"670","1003","misha","4",2.37376356373146
"671","1063","misha","4",1.76664705438607
"672","1261","misha","4",1.85210548433331
"673","1786","misha","4",1.65653728923879
"674","1792","misha","4",1.64294379710546
"675","3615","misha","6",1.86349719376597
"676","677","misha","3",1.3539808256042
"677","612","misha","3",1.34223092653331
"678","1041","misha","4",1.91989978280834
"679","1273","misha","4",1.6455010946834
"680","1411","misha","4",1.57532396884957
"681","2162","misha","4",1.71569399645662
"682","2166","misha","4",1.8653183454159
"683","2523","misha","5",1.60359486528183
"684","2624","misha","5",1.40701082899829
"685","2685","misha","5",0.854340610891319
"686","2874","misha","5",1.88067237894682
"687","2880","misha","5",1.76883340073055
"688","1432","misha","4",1.42843181336279
"689","1986","misha","4",1.95686915281851
"690","2170","misha","4",1.90367960268662
"691","2191","misha","4",2.0938444706759
"692","912","misha","3",1.96222284980029
"693","1144","misha","4",1.50122273779502
"694","1966","misha","4",2.27577245314245
"695","2869","misha","5",1.71780016880255
"696","3733","misha","6",1.53709614349533
"697","1056","misha","4",2.57468555068922
"698","1843","misha","4",2.43307364945701
"699","2234","misha","4",1.4550992277061
"700","2535","misha","5",1.32627188862996
"701","2865","misha","5",1.85719877565737
"702","661","misha","3",1.36411459970325
"703","2194","misha","4",1.63205912657739
"704","1881","misha","4",1.92069210087319
"705","534","misha","3",2.1147995924241
"706","622","misha","3",2.24607706753291
"707","1148","misha","4",2.11761425230016
"708","1825","misha","4",1.46997463114558
"709","1971","misha","4",1.2463764590091
"710","3023","misha","5",1.12804438453342
"711","3196","misha","5",2.27140390630823
"712","1001","misha","4",1.65463082716211
"713","1877","misha","4",1.86304075127424
"714","2275","misha","4",1.40490413748961
"715","628","misha","3",1.7251762412237
"716","1894","misha","4",0.808656181288448
"717","2805","misha","5",1.50957494197774
"718","890","misha","3",3.18617332401108
