"","Follow Number","Name","Minutes awake","Age","Age class lookup","TravelHangBranchs","EatHangGrounds","RestHangGrounds","RestBipedalIbus","TravelSlowClamberNests","EatSitIbus","TravelTreeSwayTrunks","EatQuadBranchs","RestHangNests","TravelBrachiateGrounds","EatLieDownBranchs","RestBipedalGrounds","RestBipedalTrunks","TravelSlowClamberGrounds","TravelQuadBranchs","RestBipedalNests","RestSitTrunks","EatBipedalTrunks","TravelBrachiateLianas","RestSitGrounds","RestSitIbus","EatSitGrounds","TravelSlowClamberTrunks","PlayHangIbu","RestQuadIbus","EatSitTrunks","RestQuadBranchs","RestBipedalLianas","EatHangIbus","TravelQuadGrounds","PlayBipedalBranch","EatSitNests","RestBipedalCrotchs","RestHangTrunks","RestLieDownNests","EatBipedalLianas","EatBipedalCrotchs","TravelSlowClamberLianas","EatHangTrunks","TravelSlowClamberCrotchs","PlaySitCrotch","PlayHangCrotch","RestHangCrotchs","PlayHangLiana","TravelTreeSwayBranchs","PlaySitBranch","RestHangLianas","RestSitLianas","RestBipedalBranchs","ClingHangIbus","RestLieDownBranchs","RestLieDownCrotchs","EatHangLianas","EatSitLianas","PlayHangBranch","EatBipedalBranchs","RestHangBranchs","RestHangIbus","EatHangBranchs","TravelSlowClamberBranchs","RestSitBranchs","PlayBrachiateBL","PlayQuadrupedalBCLINT","PlayHangGNT","TravelBrachiateNT","PlaySlowClamberBCLT","TravelTreeSwayCGLN","PlayLieDownBCLINT","EatBipedalGIN","TravelQuadCLNT","TravelBipedalBCGLNT","EatQuadCGILT","PlayBipedalCILNT","EatLieDownCGILNT","PlaySitILNT","RestLieDownGILT","RestQuadCGLNT"
"1399",1819,"Misha",675,"4","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037037037037037,0,0,0,0,0,0,0,0.00740740740740741,0,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0.00592592592592593,0,0,0,0.0103703703703704,0.00888888888888889,0,0.0577777777777778,0.00518518518518519,0,0.00740740740740741,0.0577777777777778,0.23037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1400",1866,"Misha",619,"4","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00726978998384491,0.00403877221324717,0.0113085621970921,0,0,0,0,0.0403877221324717,0,0,0,0,0.00807754442649435,0.0298869143780291,0.0751211631663974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1401",2159,"Misha",641,"4","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171606864274571,0,0,0,0,0,0,0,0.0234009360374415,0,0.00078003120124805,0,0,0,0,0,0,0,0,0,0.00702028081123245,0.0015600624024961,0,0.0265210608424337,0,0.031201248049922,0.0608424336973479,0,0.0124804992199688,0.0046801872074883,0,0.0078003120124805,0.0491419656786271,0.198127925117005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1402",2167,"Misha",606,"4","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495049504950495,0.0181518151815182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412541254125413,0,0,0,0,0.0132013201320132,0,0,0,0,0,0,0,0.00577557755775578,0,0,0,0,0,0.033003300330033,0,0,0,0.0231023102310231,0,0.00825082508250825,0.0528052805280528,0.447194719471947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1403",2207,"Kayla",672,"6","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223214285714286,0,0,0,0,0,0,0,0,0,0,0.00148809523809524,0,0,0,0,0,0,0,0,0,0.00148809523809524,0,0,0,0,0,0,0,0,0,0.0119047619047619,0.0163690476190476,0,0,0,0,0.03125,0,0.0491071428571429,0.0520833333333333,0,0.00744047619047619,0.0572916666666667,0.117559523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404",2276,"Jari Manis",460,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282608695652174,0,0,0.0521739130434783,0,0,0,0,0,0,0,0,0,0.0239130434782609,0,0,0,0,0,0,0,0,0.0108695652173913,0,0,0,0,0,0,0,0,0.0130434782608696,0.195652173913043,0,0,0,0,0,0,0,0.00760869565217391,0,0.0108695652173913,0.016304347826087,0.253260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1405",2314,"Sri",575,"5","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173913043478261,0,0,0,0,0,0,0,0,0.0147826086956522,0.00434782608695652,0,0,0.0956521739130435,0.0252173913043478,0.0260869565217391,0.0782608695652174,0,0.0260869565217391,0.00695652173913044,0,0.00869565217391304,0.0304347826086957,0.157391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1406",2323,"Kayla",666,"6","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225225225225225,0,0.0435435435435435,0.024024024024024,0,0.00750750750750751,0.0157657657657658,0.132132132132132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1407",2612,"Kayla",655,"6","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221374045801527,0,0,0,0,0,0,0,0.0122137404580153,0,0.00305343511450382,0,0,0,0,0,0,0,0,0,0.00763358778625954,0,0,0.0152671755725191,0,0,0.0305343511450382,0,0.0229007633587786,0,0,0.00763358778625954,0.0541984732824427,0.303307888040713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1408",2838,"Kayla",743,"6","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874831763122476,0.0107671601615074,0.0168236877523553,0,0,0,0.0868102288021534,0.0228802153432032,0,0.0302826379542396,0.0121130551816958,0,0.00672947510094213,0.0841184387617766,0.176312247644684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1409",2970,"BB King",601,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0,0.00499168053244592,0,0,0,0.00332778702163062,0,0,0,0,0,0,0,0,0,0.00582362728785358,0.00166389351081531,0,0,0,0,0,0.00166389351081531,0,0,0,0.00748752079866889,0,0,0,0,0,0,0,0,0,0.00998336106489185,0.00665557404326123,0,0,0,0,0,0,0,0.024126455906822,0,0.00831946755407654,0.119800332778702,0.373544093178037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1410",3045,"Walimah",708,"1","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451977401129944,0,0,0,0,0.0621468926553672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536723163841808,0,0.00706214689265537,0.0169491525423729,0,0,0.0600282485875706,0,0,0.0141242937853107,0,0.155367231638418,0,0.0127118644067797,0.353813559322034,0.00706214689265537,0,0.0240112994350282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1411",3056,"Walimah",720,"1","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527777777777778,0,0,0,0,0,0.05625,0,0,0,0,0.28125,0,0,0.379861111111111,0.00694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1412",3166,"Walimah",462,"1","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324675324675325,0,0.0432900432900433,0,0,0,0.230519480519481,0,0,0,0,0.205627705627706,0,0,0.256493506493506,0.0108225108225108,0,0.0324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1413",3205,"Roman",560,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0,0.00267857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178571428571429,0,0,0,0.00892857142857143,0,0,0.0357142857142857,0,0,0.00892857142857143,0.0455357142857143,0.0732142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1414",3211,"Roman",648,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0,0,0.0239197530864198,0,0.0223765432098765,0,0,0,0,0,0.00462962962962963,0,0.0609567901234568,0,0,0,0.00308641975308642,0,0,0,0.00540123456790123,0,0,0,0,0,0,0,0,0.00154320987654321,0.00617283950617284,0.000771604938271605,0,0,0,0,0.118827160493827,0,0,0.0432098765432099,0,0.00771604938271605,0.095679012345679,0.101851851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848765432098765
"1415",3214,"Misha",666,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015015015015015,0,0,0,0,0,0,0,0,0,0.00225225225225225,0,0,0,0,0,0,0,0,0.00975975975975976,0.00750750750750751,0.0045045045045045,0,0,0,0,0.021021021021021,0,0.105105105105105,0.00825825825825826,0,0.00750750750750751,0.0427927927927928,0.114114114114114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1416",3222,"Roman",543,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0.00368324125230203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552486187845304,0,0,0,0,0,0,0,0.00368324125230203,0,0,0,0,0,0,0,0,0,0.00184162062615101,0,0,0,0,0,0,0,0,0.00368324125230203,0,0.00920810313075507,0.070902394106814,0.255064456721915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1417",3298,"Walimah",731,"1","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136798905608755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13953488372093,0,0.00683994528043776,0,0,0,0.0348837209302326,0,0,0,0,0.563611491108071,0,0,0.0690834473324213,0.00683994528043776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1418",3401,"Walimah",601,"1","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831946755407654,0,0,0.00332778702163062,0,0,0,0.0274542429284526,0,0,0.00998336106489185,0.0199667221297837,0,0,0,0,0.00166389351081531,0.00415973377703827,0,0.00332778702163062,0.153078202995008,0,0.0199667221297837,0.0299500831946755,0.00166389351081531,0,0.084026622296173,0,0,0.00665557404326123,0,0.221297836938436,0,0.0415973377703827,0.0249584026622296,0.00831946755407654,0,0.0399334442595674,0,0.0166389351081531,0,0,0,0,0,0,0,0,0,0,0,0.00665557404326123,0,0
"1419",3431,"Roman",624,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801282051282051,0,0,0,0,0,0,0.00320512820512821,0,0,0,0.00320512820512821,0,0,0,0.00560897435897436,0,0,0,0,0,0,0,0,0,0,0.0016025641025641,0,0.0384615384615385,0,0.0272435897435897,0.0480769230769231,0,0,0.0120192307692308,0,0.00801282051282051,0.0544871794871795,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1420",3487,"Walimah",620,"2","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338709677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145161290322581,0,0,0.0032258064516129,0,0,0.115322580645161,0,0,0.032258064516129,0.0241935483870968,0.0919354838709677,0,0.017741935483871,0.358870967741935,0.00806451612903226,0,0.0129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1421",3495,"Walimah",455,"2","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263736263736264,0,0,0,0,0.0549450549450549,0,0,0,0,0,0,0,0,0,0,0,0.032967032967033,0,0,0.0725274725274725,0,0.0197802197802198,0,0,0,0.0505494505494506,0,0,0,0,0.0769230769230769,0,0.00879120879120879,0.435164835164835,0.010989010989011,0,0.0241758241758242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1422",3531,"Farag",635,"2","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551181102362205,0,0,0,0.137007874015748,0.0078740157480315,0,0.0173228346456693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1423",3878,"Kayla",615,"7","adult female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813008130081301,0,0,0,0,0,0,0,0,0.00975609756097561,0,0.0048780487804878,0,0,0,0.016260162601626,0,0,0,0.0154471544715447,0,0.00813008130081301,0.0821138211382114,0.217073170731707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1424",3947,"Roman",590,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0,0,0,0.0186440677966102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677966101694915,0,0.00338983050847458,0,0,0.0847457627118644,0,0,0,0,0,0,0.00847457627118644,0.0322033898305085,0.186440677966102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1425",4174,"Roman",625,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0.0016,0.0016,0,0,0,0,0,0,0.0096,0,0,0.0016,0.0088,0,0,0,0.0064,0.0368,0,0,0,0,0,0,0,0.0032,0,0.0136,0,0,0,0,0,0,0.0112,0.0032,0,0.008,0.056,0.1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1426",4196,"Kumara",646,"4","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00773993808049536,0,0.0704334365325077,0.0170278637770898,0,0,0,0,0,0,0,0.0232198142414861,0.0232198142414861,0.0270897832817337,0,0.00773993808049536,0.0340557275541796,0.126160990712074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
