"","FollowNumber","Name","Age","Sex","DiversityScore"
"133",3555,"walimah",2,"F",1.89407853446531
"134",6553,"walimah",7,"F",1.78494670713063
"135",6941,"walimah",7,"F",1.46431577102907
"136",6523,"walimah",7,"F",1.16655865675227
"137",6559,"walimah",7,"F",1.21491730188671
"138",6641,"walimah",7,"F",1.2931121541025
"139",7196,"walimah",7,"F",1.83245643754567
"140",4493,"walimah",2,"F",1.77340385256294
"141",6927,"walimah",7,"F",1.69826356179845
"142",3422,"walimah",1,"F",1.598537159392
"143",3443,"walimah",1,"F",1.74147532661682
"144",3451,"walimah",1,"F",1.96891581434312
"145",3540,"walimah",2,"F",1.9111673142265
"146",4553,"walimah",2,"F",1.86906134678584
"147",3336,"walimah",1,"F",2.20900739672308
"148",4269,"walimah",2,"F",1.79961654256944
"149",4770,"walimah",6,"F",1.23479698844155
"150",6657,"walimah",7,"F",1.7007285101924
"151",6993,"walimah",7,"F",1.42687680964437
"152",4272,"walimah",2,"F",1.68051962330384
"153",4510,"walimah",2,"F",2.0947284751147
"154",7572,"walimah",7,"F",1.5323126680577
"155",5282,"walimah",6,"F",1.37417069341372
"156",7300,"walimah",7,"F",1.26676212095641
"157",7231,"walimah",7,"F",1.66247789617272
"158",3406,"walimah",1,"F",1.3449828357639
"159",3445,"walimah",1,"F",2.39777976179491
"160",3481,"walimah",2,"F",1.30273749559331
"161",3530,"walimah",2,"F",2.12119821945328
"162",3544,"walimah",2,"F",2.40495304197027
"163",4439,"walimah",2,"F",2.09651531768551
"164",6680,"walimah",7,"F",1.61748241541874
"165",6683,"walimah",7,"F",1.22139089118216
"166",3728,"walimah",2,"F",1.54177248386739
"167",4303,"walimah",2,"F",1.96486768490996
"168",3341,"walimah",1,"F",1.62342514248138
"169",3497,"walimah",2,"F",1.2219668249211
"170",3260,"walimah",1,"F",1.48919610407775
"171",7202,"walimah",7,"F",2.04088897861763
"172",7346,"walimah",7,"F",1.29245914798058
"173",3491,"walimah",2,"F",2.15963544230031
"174",6528,"walimah",7,"F",1.68497427083958
"175",3048,"walimah",1,"F",1.5476138121985
"176",3356,"walimah",1,"F",1.68700390787536
"177",3409,"walimah",1,"F",1.85432149477033
"178",3493,"walimah",2,"F",1.55585314788481
"179",3507,"walimah",2,"F",1.68396230115087
"180",3512,"walimah",2,"F",2.3676477770409
"181",4427,"walimah",2,"F",1.69618234693368
"182",4430,"walimah",2,"F",1.42251997544717
"183",4534,"walimah",2,"F",2.04732783109312
"184",5287,"walimah",6,"F",1.36256655045565
"185",7210,"walimah",7,"F",1.5527126989391
"186",4793,"walimah",6,"F",1.92859690488132
"187",7764,"walimah",7,"F",2.00905920764932
"188",3296,"walimah",1,"F",2.07494286586953
"189",5325,"walimah",6,"F",1.73986269852696
"190",6575,"walimah",7,"F",1.39429594828166
"191",7760,"walimah",7,"F",1.78174606928786
"192",7706,"walimah",7,"F",1.42438387529395
"193",3103,"walimah",1,"F",1.48164453924372
"194",3201,"walimah",1,"F",2.01452161314512
"195",3746,"walimah",2,"F",2.21863049103594
"196",7276,"walimah",7,"F",1.83676031971636
"197",4746,"walimah",6,"F",1.02057806234737
"198",6552,"walimah",7,"F",1.61079291798345
"199",6601,"walimah",7,"F",1.94037845707596
"200",7296,"walimah",7,"F",1.43114500842321
"201",7168,"walimah",7,"F",1.96796550301497
"202",3240,"walimah",1,"F",1.39509032146408
"203",3414,"walimah",1,"F",2.05858945588656
"204",3501,"walimah",2,"F",1.61634969530254
"205",3561,"walimah",2,"F",1.99529329376984
"206",3587,"walimah",2,"F",2.01661189923172
"207",3732,"walimah",2,"F",1.2069255684392
"208",4512,"walimah",2,"F",2.15426628060994
"209",5021,"walimah",6,"F",0.878457320586446
"210",6556,"walimah",7,"F",0.968034077823429
"211",7482,"walimah",7,"F",1.46385470208308
"212",7516,"walimah",7,"F",1.50304000574131
"213",7485,"walimah",7,"F",0.776329747798597
"214",7709,"walimah",7,"F",1.10298010365953
"215",3302,"walimah",1,"F",2.04601716774871
"216",6597,"walimah",7,"F",1.34441265947678
